SeqId	SomaId	UNIPROT	Target	TargetFullName	EntrezGeneID	EntrezGeneSymbol	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38	uniprot_gn_id
10000-28	SL019233	P43320	CRBB2	Beta-crystallin B2	1415	CRYBB2	CRYBB2	1415	CRYBB2	HGNC:2398	CRYBB2	CRYBB2	protein_coding	22	25615612	25627836	+	25212085	25231870	+	P43320
10001-7	SL002564	P04049	c-Raf	RAF proto-oncogene serine/threonine-protein kinase	5894	RAF1	RAF1	5894	RAF1	HGNC:9829	RAF1	RAF1	protein_coding	3	12625100	12705700	-	12582101	12664201	-	P04049
10003-15	SL019245	P51814	ZNF41	Zinc finger protein 41	7592	ZNF41	ZNF41	NA	ZNF41	HGNC:13107	ZNF41	ZNF41	protein_coding	X	47305561	47342610	-	47445178	47483222	-	B1AQ29
10006-25	SL019228	P19419	ELK1	ETS domain-containing protein Elk-1	2002	ELK1	ELK1	2002	ELK1	HGNC:3321	ELK1	ELK1	protein_coding	X	47494919	47510003	-	47635521	47650604	-	P19419
10008-43	SL019234	P43080	GUC1A	Guanylyl cyclase-activating protein 1	2978	GUCA1A	GUCA1A	2978	GUCA1A	HGNC:4678	GUCA1A	GUCA1A	protein_coding	6	42123144	42147794	+	42173364	42181338	+	P43080
10010-10	SL014943	Q14457	BECN1	Beclin-1	8678	BECN1	BECN1	8678	BECN1	HGNC:1034	BECN1	BECN1	protein_coding	17	40962150	40976310	-	42810134	42833350	-	Q14457
10011-65	SL019246	Q01968	OCRL	Inositol polyphosphate 5-phosphatase OCRL-1	4952	OCRL	OCRL	4952	OCRL	HGNC:8108	OCRL	OCRL	protein_coding	X	128674252	128726530	+	129539849	129592561	+	Q01968
10012-5	SL014669	O95238	SPDEF	SAM pointed domain-containing Ets transcription factor	25803	SPDEF	SPDEF	25803	SPDEF	HGNC:17257	SPDEF	SPDEF	protein_coding	6	34505579	34524110	-	34537802	34556333	-	O95238
10014-31	SL007803	O43623	SLUG	Zinc finger protein SNAI2	6591	SNAI2	SNAI2	6591	SNAI2	HGNC:11094	SNAI2	SNAI2	protein_coding	8	49830239	49833999	-	48917598	48921740	-	O43623
10015-119	SL014924	Q13303	KCAB2	Voltage-gated potassium channel subunit beta-2	8514	KCNAB2	KCNAB2	8514	KCNAB2	HGNC:6229	KCNAB2	KCNAB2	protein_coding	1	6052358	6161253	+	5990927	6101193	+	Q13303
10022-207	SL019229	Q9Y253	POLH	DNA polymerase eta	5429	POLH	POLH	5429	POLH	HGNC:9181	POLH	POLH	protein_coding	6	43543878	43588260	+	43576185	43620523	+	Q9Y253
